,Date,AAPL,AAXN,BAC,JPM,MA,MSFT,NFLX,SCI,V
331,2017-04-26,137.52099609375,24.260000228881836,22.505334854125977,81.51311492919922,114.18760681152344,64.48271179199219,150.1699981689453,30.369184494018555,90.0345687866211
332,2017-04-27,137.62625122070312,24.700000762939453,22.279245376586914,80.75724792480469,115.10173797607422,64.90099334716797,153.0800018310547,31.311079025268555,89.81884002685547
333,2017-04-28,137.4922637939453,24.579999923706055,21.98721694946289,80.19495391845703,114.3350601196289,65.08162689208984,152.1999969482422,30.654605865478516,89.44623565673828
334,2017-05-01,140.2966766357422,24.75,22.241567611694336,80.25027465820312,114.38420867919922,65.9847412109375,155.35000610351562,30.5880069732666,89.48545837402344
335,2017-05-02,141.18678283691406,24.780000686645508,22.166200637817383,79.73406219482422,116.10435485839844,65.88016510009766,156.4499969482422,30.29306983947754,90.74055480957031
336,2017-05-03,140.75611877441406,24.739999771118164,22.39229393005371,80.19495391845703,115.32781982421875,65.67103576660156,155.58999633789062,30.2645263671875,90.64250183105469
337,2017-05-04,140.24879455566406,24.84000015258789,22.467655181884766,80.2871322631836,115.90773010253906,65.41433715820312,157.25,30.49286651611328,90.81900024414062
338,2017-05-05,142.5746307373047,24.950000762939453,22.364030838012695,80.19495391845703,115.49491119384766,65.59497833251953,156.60000610351562,30.664121627807617,90.29930877685547
339,2017-05-08,146.4510498046875,25.040000915527344,22.57128143310547,80.2871322631836,114.62010192871094,65.53791809082031,156.3800048828125,30.768779754638672,90.13261413574219
340,2017-05-09,147.3890380859375,25.18000030517578,22.590120315551758,79.96450805664062,114.42351531982422,65.63301086425781,157.4600067138672,30.49286651611328,90.21106719970703
341,2017-05-10,146.6903076171875,26.25,22.750267028808594,80.59132385253906,114.659423828125,65.88967895507812,160.27999877929688,30.71169090270996,90.4561996459961
342,2017-05-11,147.95892333984375,26.0,22.674901962280273,80.34243774414062,114.54147338867188,65.08162689208984,158.5399932861328,30.445295333862305,90.30912017822266
343,2017-05-12,150.0252685546875,25.989999771118164,22.60896110534668,80.1212158203125,115.1312255859375,65.00557708740234,160.80999755859375,30.45480728149414,90.92686462402344
344,2017-05-15,149.64085388183594,25.15999984741211,22.665483474731445,80.50835418701172,116.19281005859375,65.05310821533203,160.02000427246094,30.426267623901367,91.41714477539062
345,2017-05-16,149.41976928710938,25.559999465942383,22.599536895751953,80.75724792480469,116.46803283691406,66.36296844482422,159.41000366210938,30.226470947265625,91.33869934082031
346,2017-05-17,144.40293884277344,24.59000015258789,21.2618465423584,77.67847442626953,114.8068618774414,64.51768493652344,153.1999969482422,29.96007537841797,90.13536834716797
347,2017-05-18,146.60379028320312,24.1299991607666,21.421987533569336,77.39275360107422,114.25640869140625,64.73758697509766,155.6999969482422,30.102785110473633,90.0862808227539
348,2017-05-19,147.10354614257812,24.600000381469727,21.714021682739258,78.14859771728516,115.57354736328125,64.71847534179688,157.02000427246094,30.397727966308594,90.84263610839844
349,2017-05-22,147.99737548828125,24.729999542236328,21.70460319519043,78.0748519897461,116.96932220458984,65.44509887695312,157.16000366210938,30.578495025634766,91.6579360961914
350,2017-05-23,147.8147735595703,24.8799991607666,22.034317016601562,79.05195617675781,117.55908203125,65.66500854492188,157.9499969482422,30.312097549438477,92.19820404052734
351,2017-05-24,147.3726806640625,24.780000686645508,22.006053924560547,79.0058822631836,118.64030456542969,65.75106048583984,157.75,30.4167537689209,93.13139343261719
352,2017-05-25,147.88201904296875,24.989999771118164,21.902429580688477,78.67401123046875,119.83948516845703,66.56375122070312,163.0500030517578,30.540435791015625,93.35731506347656
353,2017-05-26,147.6322021484375,24.899999618530273,21.89301300048828,78.6832275390625,119.55442810058594,66.88880157470703,162.42999267578125,30.407238006591797,92.99385833740234
354,2017-05-30,147.68984985351562,24.59000015258789,21.582136154174805,77.33744049072266,119.5740966796875,67.31907653808594,163.22000122070312,30.388214111328125,93.04298400878906
355,2017-05-31,146.81524658203125,24.010000228881836,21.18045425415039,75.72431945800781,120.78311920166016,66.77407836914062,163.07000732421875,30.331125259399414,93.5439682006836
